,Binomial,Leaf Relative water content (water content / water content at saturation),Leaf Water content (molar) per leaf dry mass (WCd),Leaf Water content saturating (molar) (WCs),Leaf Water content total (molar) (WCt),Leaf area index of the site (LAI),Leaf area: in case of compound leaves undefined if leaf or leaflet; undefined if petiole and rhachis in- or excluded,Leaf carbon content per area,Leaf carbon content per dry mass,Leaf carbon/nitrogen (C/N) ratio,Leaf carotenoid content per dry mass,Leaf chlorophyll a content per dry mass,Leaf chlorophyll a+b content per area,Leaf chlorophyll a/b ratio,Leaf chlorophyll b content per dry mass,Leaf chlorophyll content (a+b) per dry mass,Leaf compoundness,Leaf dry matter content per leaf water-saturated mass (LDMC),Leaf lamina thickness,"Leaf lifespan (longevity, retention time, LL)",Leaf nitrogen content per area (Narea),Leaf nitrogen content per dry mass (Nmass),Leaf petiole length,Leaf phenology type,Leaf phosphorus content per area (Parea),Leaf phosphorus content per dry mass (Pmass),Leaf position,Leaf respiration per area at leaf temperature,Leaf respiration per dry mass,Leaf shape: 2. outline,Leaf shape: 3. pointed/round,Leaf shape: 4. length versus breadth,Leaf shape: 5. leaf base,Leaf shape: 6. leaf petiole type,Leaf thickness,Leaf tissue density,Leaf transpiration (molar) per dry mass,Leaf transpiration rate per dry mass (daytime),Leaf water content per leaf dry mass,"Leaf water content per leaf water-saturated mass (LWC, 1-LDMC)",Leaf water content saturating,Leaf water content total,Leaf water saturation deficit
10,Marrubium vulgare,,,,,1.202222228,01-Oct,,,,,,,,,,simple,,,,,,,,,,,,,crenate,rounded,length = width,cordate,petiolate,,,,,,,,,
11,Hydrocotyle vulgaris,,,,,1.422430575,01-Oct,,40.176,18.35437152,,,,,,,simple,,,,,2.642665785,130.0,aestival,,8.59E-02,,,,crenate,rounded,length = width,central,petiolate,,,,,,,,,
12,Veronica persica,,,,,1.555694461,01-Oct,,43.25,19.22222222,,,,,,,simple,,,,,2.25,,semi-evergreen,,0.235,,,,crenate,pointed,1-3 times as long as wide,cordate,petiolate,,,,,,,,,
13,Pyrola rotundifolia,,,,,1.771388888,01-Oct,,,,1.03,,,,,5.11,simple,,,,,1.45,50.0,evergreen,,,,,,crenate,rounded,length = width,,petiolate,,,,,,,,,
14,Viola palustris,,,,,1.80250001,01-Oct,,,,,,,,,,simple,,,,,,,aestival,,,,,,crenate,rounded,length = width,cordate,petiolate,,,,,,,,,
15,Campanula patula,,,,,2.298611164,01-Oct,,,,,,,,,,simple,,,,,2.502,0.0,,,,,,,crenate,rounded,1-3 times as long as wide,cuneate,petiolate,0.105,190.5233835,,,,,,,
16,Lamium purpureum,,,,,3.219583273,01-Oct,,,,,,,,,,simple,,,,,,,hibernal,,,,,,crenate,rounded,1-3 times as long as wide,truncate,petiolate,,,,,,,,,
17,Veronica officinalis,,,,,3.219583273,01-Oct,,49.1,35.57971015,,,,,,,simple,,,,,1.38,1.5,evergreen,,02-Mar,,,,crenate,rounded,1-3 times as long as wide,cuneate,subsessile,,,,,,,,,
18,Lamium amplexicaule,,,,,,01-Oct,,,,,,,,,,simple,,,,,,50.0,,,,,,,crenate,rounded,1-3 times as long as wide,cordate,petiolate,,,,,,,,,
19,Phyteuma orbiculare,,,,,,01-Oct,,,,,,,,,,simple,,,,,,0.0,vernal,,,,,,crenate,rounded,1-3 times as long as wide,cordate,petiolate,,,,,,,,,
20,Phyteuma spicatum,,,,,,01-Oct,,,,,,,,,,simple,,,,,,0.0,,,,,,,crenate,pointed,>3 times as long as wide,cordate,petiolate,,,,,,,,,
21,Pyrola media,,,,,,01-Oct,,,,,,,,,4.6,simple,,,,,1.52,40.0,evergreen,,,,,14.5199,crenate,rounded,length = width,cuneate,petiolate,,,,,,,,,
22,Pyrus cordata,,,,,,01-Oct,,,,,,,,,,simple,,,,,,50.0,aestival,,,,,,crenate,rounded,1-3 times as long as wide,,petiolate,,,,,,,,,
23,Scutellaria galericulata,,,,,,01-Oct,,,,,,,,,,simple,,,,,,,aestival,,,,,,crenate,rounded,1-3 times as long as wide,cordate,petiolate,,,,,,,,,
24,Stachys arvensis,,,,,,01-Oct,,,,,,,,,,simple,,,,,,,semi-evergreen,,,,,,crenate,rounded,1-3 times as long as wide,cordate,petiolate,,,,,,,,,
25,Veronica beccabunga,,,,,,01-Oct,,,,,,,,,,simple,,,,,,,evergreen,,,,,,crenate,rounded,1-3 times as long as wide,,petiolate,,,,,,,,,
26,Viola cornuta,,,,,,01-Oct,,,,,,,,,,simple,,,,,,,,,,,,,crenate,pointed,1-3 times as long as wide,truncate,petiolate,,,,,,,,,
27,Viola lactea,,,,,,01-Oct,,,,,,,,,,simple,,,,,,,,,,,,,crenate,pointed,1-3 times as long as wide,rounded,petiolate,,,,,,,,,
28,Viola lutea,,,,,,01-Oct,,,,,,,,,,simple,,,,,,,,,,,,,crenate,rounded,1-3 times as long as wide,cuneate,petiolate,,,,,,,,,
29,Bartsia alpina,,611.8251634,,,2.604166746,0.1-1,,53.04654154,16.93748784,1.7,,,,,3.8,simple,195.84,,0-2,,3.13190138,0.0,,,0.152,,,15.7825,crenate,rounded,1-3 times as long as wide,,sessile,0.2955,205.1235963,,,4.10620915,80.416,,,
30,Clinopodium acinos,,499.884427,,,1.36722219,0.1-1,,,,,,,,,,simple,229.625,,18,,,,,,,,,,crenate,pointed,1-3 times as long as wide,cuneate,petiolate,,,,,3.35492904,77.0375,,,
31,Linnaea borealis,,437.7758831,,,2.240902722,0.1-1,,,,,,,,,2.5,simple,253.93,,Dec-24,,1.12,2.0,evergreen,,,,,14.5199,crenate,rounded,1-3 times as long as wide,cuneate,petiolate,,,,,2.938093175,74.607,,,
32,Mentha pulegium,,,,,0.722638875,0.1-1,,,,,,,,,,simple,,,,,,,,,,,,,crenate,rounded,1-3 times as long as wide,cuneate,petiolate,,,,,,,,,
33,Viola kitaibeliana,,,,,0.964166641,0.1-1,,,,,,,,,,simple,,,,,,,,,,,,,crenate,rounded,1-3 times as long as wide,cuneate,petiolate,,,,,,,,,
34,Veronica agrestis,,,,,,0.1-1,,,,,,,,,,simple,,,,,,,semi-evergreen,,,,,,crenate,rounded,1-3 times as long as wide,truncate,petiolate,,,,,,,,,
35,Veronica filiformis,,,,,,0.1-1,,,,,,,,,,simple,,,,,,,evergreen,,,,,,crenate,rounded,length = width,cordate,petiolate,,,,,,,,,
36,Veronica polita,,,,,,0.1-1,,,,,,,,,,simple,,,,,,,semi-evergreen,,,,,,crenate,rounded,1-3 times as long as wide,truncate,petiolate,,,,,,,,,
37,Viola rupestris,,,,,,0.1-1,,,,,,,,,,simple,,,,,,,,,,,,,crenate,rounded,1-3 times as long as wide,cordate,petiolate,,,,,,,,,
38,Ajuga reptans,,691.5306585,,,1.768472195,10-100,,44.06151167,22.69946182,,,,,,,simple,177.2716067,,,,1.737361,1.0,evergreen,,,,,,crenate,rounded,1-3 times as long as wide,cuneate,petiolate,,,,,4.641145359,82.27283933,,,
39,Viola reichenbachiana,,613.8813231,,,1.830416679,10-100,,42.99665,21.59662926,1.974571429,,,,,11.17828571,simple,195.3122883,,,,2.232993333,,,,,,,,crenate,pointed,1-3 times as long as wide,cordate,petiolate,,,,,4.12000888,80.46877117,,,
40,Caltha palustris,,628.4416132,,,1.127500057,10-100,,48.1251848,13.68769089,1.7,,,,,7.44,simple,197.8748513,,02-Jun,,3.576525,,aestival,,0.081783004,,,,crenate,rounded,length = width,cordate,petiolate,0.284,84.50668725,,,4.217728947,80.21251487,,,
41,Melittis melissophyllum,,586.429471,,,1.830416679,10-100,,44.29753167,19.83864856,,,,,,,simple,202.6027048,,,,1.928434,,,,,,,,crenate,pointed,1-3 times as long as wide,cuneate,petiolate,,,,,3.935768262,79.73972952,,,
42,Salvia pratensis,,596.2368318,,,1.629791677,10-100,,43.96353975,16.65767376,,,,,,,simple,205.077093,,,,2.63923645,0.0,,,,,,,crenate,rounded,1-3 times as long as wide,cordate,petiolate,0.32946558,,,,4.001589475,79.4922907,,,
43,Viola hirta,,566.7243192,,,1.983611107,10-100,,43.6,22.82722513,,,,,,,simple,208.1807143,,,,1.91,,evergreen,,,,,,crenate,pointed,1-3 times as long as wide,cordate,petiolate,,,,,3.803518921,79.18192857,,,
44,Viola canina,,,,,1.262222171,10-100,,44.1,18.29875519,,,,,,,simple,,,,,2.41,,,,,,,,crenate,pointed,1-3 times as long as wide,rounded,petiolate,,,,,,,,,
45,Viola riviniana,,,,,2.126944542,10-100,,45.0,20.1793722,,,,,,,simple,,,,,2.23,,evergreen,,,,,,crenate,pointed,1-3 times as long as wide,cordate,petiolate,0.12,236.2019693,,,,,,,
46,Ballota nigra,,,,,,10-100,,,,,,,,,,simple,,,,,,,,,,,,,crenate,rounded,length = width,cordate,petiolate,,,,,,,,,
47,Galeopsis bifida,,,,,,10-100,,,,,,,,,,simple,,,,,,,,,,,,,crenate,pointed,1-3 times as long as wide,cuneate,petiolate,,,,,,,,,
48,Scrophularia auriculata,,,,,,10-100,,,,,,,,,,simple,,,,,,,aestival,,,,,,crenate,rounded,1-3 times as long as wide,cordate,petiolate,,,,,,,,,
49,Stachys alpina,,,,,,10-100,,,,,,,,,,simple,,,,,,30.0,,,,,,,crenate,pointed,1-3 times as long as wide,cordate,petiolate,,,,,,,,,
50,Stachys germanica,,,,,,10-100,,,,,,,,,,simple,,,06-Dec,,,0.0,,,,,,,crenate,pointed,1-3 times as long as wide,rounded,petiolate,,,,,,,,,
51,Stachys palustris,,,,,,10-100,,,,,,,,,,simple,,,,,20-30,5.0,aestival,,>3,,,,crenate,pointed,>3 times as long as wide,rounded,petiolate,,,,,,,,,
52,Stachys sylvatica,,,,,,10-100,,,,,,,,,,simple,,,,,20-30,42.5,aestival,,01-Feb,,,,crenate,pointed,1-3 times as long as wide,cordate,petiolate,,,,,,,,,
53,Teucrium scorodonia,,,,,,10-100,,,,,,,,,,simple,,,,,,,semi-evergreen,,,,,,crenate,pointed,1-3 times as long as wide,cuneate,petiolate,,,,,,,,,
54,Umbilicus rupestris,,,,,,10-100,,,,,,,,,,simple,,,,,,,evergreen,,,,,,crenate,rounded,length = width,central,petiolate,,,,,,,,,
55,Viola odorata,,,,,,10-100,,,,,,,,,,simple,,,,,,,evergreen,,,,,,crenate,pointed,1-3 times as long as wide,cordate,petiolate,,,,,,,,,
56,Verbascum thapsus,,538.2693727,,,1.557500005,100-1000,,46.26,25.40992861,,,,,,,simple,216.8,,,,2.228,,evergreen,,0.215,,,,crenate,pointed,1-3 times as long as wide,cuneate,petiolate,0.45,122.605364,,,3.612546126,78.32,,,
57,Digitalis purpurea,,,,,3.219583273,100-1000,,,,,,,,,,simple,,,2.52,,3.78,,evergreen,,0.44,,,,crenate,pointed,1-3 times as long as wide,cuneate,petiolate,,,,,,,,,
58,Verbascum lychnitis,,,,,,100-1000,,,,,,,,,,simple,,,,,,0.0,,,,,,,crenate,pointed,1-3 times as long as wide,rounded,petiolate,,,,,,,,,
59,Verbascum nigrum,,,,,,100-1000,,,,,,,,,,simple,,,,,,1.0,,,,,,,crenate,pointed,1-3 times as long as wide,cordate,petiolate,,,,,,,,,
60,Verbascum pulverulentum,,,,,,100-1000,,,,,,,,,,simple,,,,,,0.0,evergreen,,,,,,crenate,pointed,1-3 times as long as wide,cordate,petiolate,,,,,,,,,
61,Osmunda regalis,,393.1935207,,,1.621527791,,,47.06622517,13.8,,,,,,7.009933775,compound,275.65,,06-Dec,,3.410596027,,aestival,,,,,5.741626794,crenate,rounded,1-3 times as long as wide,truncate,petiolate,0.156,267.948718,,,2.638882689,72.435,,,
62,Viola tricolor,,,,,1.422430575,,,42.361,19.96613793,,,,,,,simple,,,6,,2.022,,semi-evergreen,,0.0702,,,,crenate,rounded,1-3 times as long as wide,cuneate,petiolate,,,,,,,,,
63,Botrychium lunaria,,,,,1.688194513,,,,,,,,,,,compound,,,02-Jun,,,75.0,aestival,,,,,9.523809524,crenate,rounded,>3 times as long as wide,cordate,petiolate,0.2404,262.063228,,,,,,,
64,Ajuga pyramidalis,,,,,,,,,,,,,,,,simple,,,,,,,,,,,,,crenate,rounded,1-3 times as long as wide,cuneate,petiolate,,,,,,,,,
65,Clinopodium nepeta,,,,,,,,,,,,,,,,simple,,,,,,3.5,,,,,,,crenate,rounded,1-3 times as long as wide,cuneate,petiolate,,,,,,,,,
66,Dryopteris oreades,,,,,,,,,,,,,,,,compound,,,,,,200.0,aestival,,,,,,crenate,rounded,>3 times as long as wide,decurrent,petiolate,,,,,,,,,
67,Oreopteris limbosperma,,,,,,,,,,,,,,,,compound,,,02-Jun,,,162.5,aestival,,,,,,crenate,rounded,>3 times as long as wide,parallel-sided,petiolate,,,,,,,,,
68,Woodsia alpina,,,,,,,,,,,,,,,,compound,,,06-Dec,,,437.5,semi-evergreen,,,,,,crenate,rounded,>3 times as long as wide,truncate,petiolate,,,,,,,,,
69,Woodsia ilvensis,,,,,,,,,,,,,,,,compound,,,06-Dec,,,437.5,semi-evergreen,,,,,,crenate,rounded,>3 times as long as wide,truncate,petiolate,,,,,,,,,
70,Asplenium trichomanes,,,,,2.298611164,,,,,,,,,,,compound,,,Dec-24,,3.12,,evergreen,,,,,17.09401709,crenate-dentate,rounded,,truncate,,0.11,457.2658028,,,,,,,
71,Asplenium ruta-muraria,,,,,,,,,,,,,,,,compound,,,Dec-24,,,100.0,evergreen,,,,,,crenate-dentate,rounded,>3 times as long as wide,cuneate,petiolate,,,,,,,,,
72,Aesculus hippocastanum,,297.1077844,,,,,,,,,,,,,,compound,334.0,,,,2.36,,megaphanerophyte,,0.157,,,,crenate-serrate,acuminate,length=width,cuneate,petiolate,,,,,1.994011976,66.6,,,
73,Dryopteris filix-mas,,,,,1.771388888,,,,,1.09,,,,,6.015,compound,,,,,,310.0,,,,,,9.84917473,crenate-serrate,rounded,>3 times as long as wide,decurrent,petiolate,0.14355,220.7094673,,,,,,,
74,Cystopteris fragilis,,,,,1.00222218,,,,,2.1,,,,,5.5,compound,,,02-Jun,,4.585,225.0,aestival,,,,,,dentate,pointed,1-3 times as long as wide,cuneate,petiolate,0.08,253.5472979,,,,,,,
75,Cystopteris montana,,,,,,,,,,,,,,,,compound,,,02-Jun,,,118.5,aestival,,,,,,dentate,pointed,,decurrent,petiolate,,,,,,,,,
76,Lunaria annua,,,,,,,,,,,,,,,,simple,,,,,,,aestival,,,,,,dentate,acuminate,1-3x as long as wide,cordate,petiolate,,,,,,,,,
77,Abies grandis,,,,,2.693194389,1.5,,,,,,,,,,simple,,,>24,,Oct-20,,evergreen,,2,,,,entire,emarginate,>3 times as long as wide,,subsessile,0.4738,345.5,,,1.928859652,65.45,,,
78,Pinguicula vulgaris,,1888.746171,,,,01-Oct,,47.35674857,29.85829486,0.69,,,,,3.24,simple,73.12,,02-Jun,,1.58605,0.0,aestival,,,,,,entire,rounded,1-3 times as long as wide,cuneate,sessile,0.301,54.63685553,,,12.6761488,92.688,,,
79,Orchis anthropophora,,1675.862217,,,2.132777691,01-Oct,,,,,,,,,,simple,81.65,0.5-1.0,06-Dec,,,0.0,vernal,,,,,,entire,pointed,>3 times as long as wide,cuneate,sheathing,,,,,11.24739743,91.835,,,
80,Ceratocapnos claviculata,,1635.3764,,,1.849444509,01-Oct,,,,,,,,,,compound,83.585,,,,,,aestival,,,,,,entire,pointed,length = width,cuneate,petiolate,,,,,10.97568054,91.6415,,,
81,Ophrys sphegodes,,1332.11332,,,1.421249986,01-Oct,,,,,,,,,,simple,100.6,,,,,0.0,,,,,,,entire,pointed,>3 times as long as wide,cuneate,sheathing,,,,,8.940357853,89.94,,,
82,Orchis simia,,1328.734801,,,1.47777772,01-Oct,,,,,,,,,,simple,100.83,,,,,0.0,,,,,,,entire,pointed,>3 times as long as wide,cuneate,sheathing,,,,,8.917683229,89.917,,,
83,Platanthera bifolia,,1301.262799,,,2.132777691,01-Oct,,,,,,,,,,simple,102.74,,,,2.63,,,,,,,,entire,pointed,>3 times as long as wide,cuneate,sheathing,,,,,8.733307378,89.726,,,
84,Ophrys fuciflora,,1283.554562,,,1.548472166,01-Oct,,,,,,,,,,simple,104.01,,,,,0.0,,,,,,,entire,pointed,>3 times as long as wide,cuneate,sheathing,,,,,8.614460148,89.599,,,
85,Orchis militaris,,1168.65122,,,1.421249986,01-Oct,,,,,,,,,,simple,113.08,,,,20-30,0.0,,,01-Feb,,,,entire,rounded,>3 times as long as wide,cuneate,sheathing,,,,,7.843296781,88.692,,,
86,Littorella uniflora,,1115.640978,,,1.511250019,01-Oct,,,,,,,,,,simple,117.82,,,,,0.0,,,,submerged,,,entire,rounded,>3 times as long as wide,parallel-sided,sessile,,,,,7.487523341,88.218,,,
87,Plantago maritima,,1098.273293,,,1.262222171,01-Oct,,44.204,28.75992193,1.38,,,3.14,,3.9,simple,119.4605872,,,,1.537,,,,0.0894,,,,entire,pointed,>3 times as long as wide,parallel-sided,petiolate,,,,,7.370961696,88.05394128,,,
88,Neotinea ustulata,,1086.796633,,,1.421249986,01-Oct,,,,,,,,,,simple,120.57,,36,,,0.0,,,,,,,entire,pointed,>3 times as long as wide,cuneate,sheathing,,,,,7.293937132,87.943,,,
89,Anacamptis morio,,1085.36335,,,2.3125,01-Oct,,,,,,,,,,simple,120.71,0.2-0.5,06-Dec,,,,hibernal,,,,,,entire,pointed,>3 times as long as wide,cuneate,sheathing,,,,,7.284317786,87.929,,,
90,Orchis mascula,,1040.620759,,,2.298611164,01-Oct,,,,,,,,,,simple,125.25,,36,,2.044,,vernal,,,,,,entire,pointed,>3 times as long as wide,cuneate,sheathing,0.41,125.7040334,,,6.984031936,87.475,,,
91,Pseudorchis albida,,1006.397022,,,2.604166746,01-Oct,,,,1.13,,,,,4.65,simple,128.96,,,,,,,,,,,,entire,rounded,>3 times as long as wide,parallel-sided,sheathing,,,,,6.754342432,87.104,,,
92,Myosotis discolor,,974.9345252,,,2.913402677,01-Oct,,,,,,,,,,simple,132.57,,,,,,hibernal,,,,,,entire,rounded,1-3 times as long as wide,cuneate,petiolate,,,,,6.543184733,86.743,,,
93,Silene flos-cuculi,,939.4632517,,,1.338055491,01-Oct,,43.44,27.93569132,,,,,,,simple,136.8902439,,,,1.555,,evergreen,,0.178,,,,entire,pointed,>3 times as long as wide,cuneate,subsessile,,,,,6.305122495,86.31097561,,,
94,Allium sphaerocephalon,,928.2901453,,,1.36722219,01-Oct,,,,,,,,,,simple,138.31,,,,,0.0,hibernal,,,,,,entire,pointed,>3 times as long as wide,parallel-sided,sessile,,,,,6.230135204,86.169,,,
95,Parnassia palustris,,926.0631718,,,,01-Oct,,45.67742158,27.19742222,3.33,,,,,7.12,simple,138.605,,,,1.768764912,80.0,,,7.55E-02,,,,entire,pointed,1-3 times as long as wide,cordate,petiolate,,,,,6.215189072,86.1395,,,
96,Fritillaria meleagris,,925.7259088,,,1.424999952,01-Oct,,,,,,,,,,simple,138.64,,,,,0.0,,,,,,,entire,pointed,>3 times as long as wide,parallel-sided,sessile,,,,,6.212925563,86.136,,,
97,Rumex acetosella,,889.6176471,,,1.606527805,01-Oct,,44.9724,12.4942297,,,,,,,simple,143.4599156,,3.24,,2.97,,evergreen,,0.29,,,,entire,pointed,>3 times as long as wide,sagittate,petiolate,0.309,166.5734585,,,5.970588235,85.65400844,,,
98,Sparganium natans,,894.133155,,,2.167916536,01-Oct,,,,,,,,,,simple,143.86,,,,,0.0,,,,floating,,,entire,rounded,>3 times as long as wide,parallel-sided,sheathing,,,,,6.000893658,85.614,,,
99,Galium aparine,,882.1576955,,,1.606527805,01-Oct,,41.87438027,17.29081124,,,,,,,simple,144.7456375,,2.52,,3.83,,hibernal,,0.43,,,,entire,pointed,>3 times as long as wide,parallel-sided,sessile,0.135,383.5424621,,,5.920521447,85.52543625,,,
100,Drosera anglica,,870.6400465,,,,01-Oct,,,,,,,,,,simple,146.13,,,,,75.0,,,,,,,entire,rounded,>3 times as long as wide,cuneate,petiolate,,,,,5.843221789,85.387,,,
101,Cephalanthera damasonium,,851.4028468,,,2.132777691,01-Oct,,,,,,,,,,simple,148.94,,,,,0.0,,,,,,,entire,pointed,>3 times as long as wide,truncate,sessile,,,,,5.714113066,85.106,,,
102,Chenopodium vulvaria,,1014.402323,,,1.359861136,01-Oct,,33.534,9.923168199,,,,,,,simple,149.1141026,,,,3.068,,,,0.443,,,,entire,pointed,1-3 times as long as wide,cuneate,,,,,,6.80806928,85.08858974,,,
103,Neottia cordata,,826.0032718,,,3.219583273,01-Oct,,,,,,,,,,simple,152.82,,,,,,,,,,,,entire,pointed,1-3 times as long as wide,cuneate,sessile,,,,,5.54364612,84.718,,,
104,Lysimachia europaea,,825.6843723,,,1.836597264,01-Oct,,,,,,,,,7.2,simple,152.87,,,,2.46,1.0,,,0.01,,,6.313,entire,rounded,1-3 times as long as wide,cuneate,subsessile,,,,,5.541505855,84.713,,,
105,Silene vulgaris,,821.7575758,,,1.557500005,01-Oct,,,,,,,,,,simple,153.4883721,,,,2.482,,aestival,,,,,,entire,pointed,>3 times as long as wide,cuneate,petiolate,0.26,144.906289,,,5.515151515,84.65116279,,,
106,Erigeron borealis,,819.8536316,,,,01-Oct,,,,,,,,,,simple,153.79,,,,,0.0,,,,,,,entire,pointed,>3 times as long as wide,cuneate,petiolate,,,,,5.502373366,84.621,,,
107,Melampyrum sylvaticum,,803.1375168,,,1.87611115,01-Oct,,46.68974292,25.09449805,,,,,,4.7,simple,156.49,,,,1.860556957,0.0,,,,,,9.4695,entire,pointed,>3 times as long as wide,rounded,sessile,0.185,170.0669844,,,5.390184676,84.351,,,
108,Potamogeton compressus,,771.9469065,,,1.939166665,01-Oct,,,,,,,,,,simple,161.79,,,,,0.0,,,,submerged,,,entire,pointed,>3 times as long as wide,parallel-sided,sessile,,,,,5.180851721,83.821,,,
109,Lolium multiflorum,,774.9198461,,,1.435833335,01-Oct,,48.76333333,21.15591398,,,,,,,simple,162.5094482,,,,1.86,0.0,,,0.149546504,,,,entire,pointed,>3 times as long as wide,parallel-sided,sheathing,,,,,5.153488372,83.74905518,,,
110,Galium odoratum,,747.0850617,,,1.866805553,01-Oct,,43.85740333,19.12466358,1.961285714,,,,,11.69185714,simple,166.2910169,,,,2.531281,,evergreen,,,,,,entire,pointed,1-3 times as long as wide,cuneate,sessile,,,,,5.013993703,83.37089831,,,
111,Luronium natans,,743.2155689,,,1.510972261,01-Oct,,,,,,,,,,simple,167.0,,,,,,,,,submerged,,,entire,rounded,>3 times as long as wide,cuneate,petiolate,,,,,4.988023952,83.3,,,
112,Potamogeton alpinus,,739.6585796,,,1.573472202,01-Oct,,,,,,,,,,simple,167.71,,,,,,aestival,,,submerged,,,entire,rounded,>3 times as long as wide,cuneate,petiolate,,,,,4.964151541,83.229,,,
113,Allium schoenoprasum,,713.8677322,,,,01-Oct,,,,1.9,,,,,4.842857143,simple,172.68,,36,,,0.0,,,,,,,entire,pointed,>3 times as long as wide,parallel-sided,sessile,,,,,4.791058606,82.732,,,
114,Samolus valerandi,,708.0164505,,,,01-Oct,,,,,,,,,,simple,174.21,,,,,,,,,,,,entire,rounded,1-3 times as long as wide,cuneate,sessile,,,,,4.751788259,82.579,,,
115,Cerastium fontanum,,703.402746,,,1.324097216,01-Oct,,41.894,33.13570275,,,,,,,simple,174.8,,2.52,,2.41,,evergreen,,0.45,,,,entire,pointed,>3 times as long as wide,cuneate,subsessile,,,,,4.720823799,82.52,,,
116,Gymnadenia conopsea,,698.6215398,,,1.983611107,01-Oct,,,,1.485,,,,,5.605,simple,175.786,,,,,0.0,aestival,,,,,,entire,rounded,>3 times as long as wide,parallel-sided,sheathing,,,,,4.688735167,82.4214,,,
117,Digitaria ischaemum,,673.6590106,,,,01-Oct,,,,,,,,,,simple,181.12,,,,,0.0,,,,,,,entire,pointed,>3 times as long as wide,parallel-sided,sheathing,,,,,4.521201413,81.888,,,
