Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code (FAO),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QCL","Crops and livestock products","27","Bulgaria","5312","Area harvested","552","Blueberries","1976","1976","ha","","M","Data not available"
"QCL","Crops and livestock products","27","Bulgaria","5312","Area harvested","552","Blueberries","1977","1977","ha","","M","Data not available"
"QCL","Crops and livestock products","27","Bulgaria","5312","Area harvested","552","Blueberries","1978","1978","ha","","M","Data not available"
"QCL","Crops and livestock products","27","Bulgaria","5312","Area harvested","552","Blueberries","1979","1979","ha","","M","Data not available"
"QCL","Crops and livestock products","27","Bulgaria","5312","Area harvested","552","Blueberries","1980","1980","ha","","M","Data not available"
"QCL","Crops and livestock products","27","Bulgaria","5312","Area harvested","552","Blueberries","1981","1981","ha","","M","Data not available"
"QCL","Crops and livestock products","27","Bulgaria","5312","Area harvested","552","Blueberries","1982","1982","ha","","M","Data not available"
"QCL","Crops and livestock products","27","Bulgaria","5312","Area harvested","552","Blueberries","1983","1983","ha","","M","Data not available"
"QCL","Crops and livestock products","27","Bulgaria","5312","Area harvested","552","Blueberries","1984","1984","ha","","M","Data not available"
"QCL","Crops and livestock products","27","Bulgaria","5312","Area harvested","552","Blueberries","1985","1985","ha","","M","Data not available"
"QCL","Crops and livestock products","27","Bulgaria","5312","Area harvested","552","Blueberries","1986","1986","ha","","M","Data not available"
"QCL","Crops and livestock products","27","Bulgaria","5312","Area harvested","552","Blueberries","1987","1987","ha","","M","Data not available"
"QCL","Crops and livestock products","27","Bulgaria","5312","Area harvested","552","Blueberries","1988","1988","ha","","M","Data not available"
"QCL","Crops and livestock products","27","Bulgaria","5312","Area harvested","552","Blueberries","1989","1989","ha","","M","Data not available"
"QCL","Crops and livestock products","27","Bulgaria","5312","Area harvested","552","Blueberries","1990","1990","ha","","M","Data not available"
"QCL","Crops and livestock products","27","Bulgaria","5312","Area harvested","552","Blueberries","1991","1991","ha","","M","Data not available"
"QCL","Crops and livestock products","27","Bulgaria","5312","Area harvested","552","Blueberries","1992","1992","ha","","M","Data not available"
"QCL","Crops and livestock products","27","Bulgaria","5312","Area harvested","552","Blueberries","1993","1993","ha","","M","Data not available"
"QCL","Crops and livestock products","27","Bulgaria","5312","Area harvested","552","Blueberries","1994","1994","ha","","M","Data not available"
"QCL","Crops and livestock products","27","Bulgaria","5312","Area harvested","552","Blueberries","1995","1995","ha","","M","Data not available"
"QCL","Crops and livestock products","27","Bulgaria","5312","Area harvested","552","Blueberries","1996","1996","ha","","M","Data not available"
"QCL","Crops and livestock products","27","Bulgaria","5312","Area harvested","552","Blueberries","1997","1997","ha","","M","Data not available"
"QCL","Crops and livestock products","27","Bulgaria","5312","Area harvested","552","Blueberries","1998","1998","ha","","M","Data not available"
"QCL","Crops and livestock products","27","Bulgaria","5312","Area harvested","552","Blueberries","1999","1999","ha","","M","Data not available"
"QCL","Crops and livestock products","27","Bulgaria","5312","Area harvested","552","Blueberries","2000","2000","ha","","M","Data not available"
"QCL","Crops and livestock products","27","Bulgaria","5312","Area harvested","552","Blueberries","2001","2001","ha","","M","Data not available"
"QCL","Crops and livestock products","27","Bulgaria","5312","Area harvested","552","Blueberries","2002","2002","ha","","M","Data not available"
"QCL","Crops and livestock products","27","Bulgaria","5312","Area harvested","552","Blueberries","2003","2003","ha","","M","Data not available"
"QCL","Crops and livestock products","27","Bulgaria","5312","Area harvested","552","Blueberries","2004","2004","ha","","M","Data not available"
"QCL","Crops and livestock products","27","Bulgaria","5312","Area harvested","552","Blueberries","2005","2005","ha","","M","Data not available"
"QCL","Crops and livestock products","27","Bulgaria","5312","Area harvested","552","Blueberries","2006","2006","ha","20","F","FAO estimate"
"QCL","Crops and livestock products","27","Bulgaria","5312","Area harvested","552","Blueberries","2007","2007","ha","20","F","FAO estimate"
"QCL","Crops and livestock products","27","Bulgaria","5312","Area harvested","552","Blueberries","2008","2008","ha","20","F","FAO estimate"
"QCL","Crops and livestock products","27","Bulgaria","5312","Area harvested","552","Blueberries","2009","2009","ha","18","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","27","Bulgaria","5312","Area harvested","552","Blueberries","2010","2010","ha","17","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","27","Bulgaria","5312","Area harvested","552","Blueberries","2011","2011","ha","16","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","27","Bulgaria","5312","Area harvested","552","Blueberries","2012","2012","ha","15","F","FAO estimate"
"QCL","Crops and livestock products","27","Bulgaria","5312","Area harvested","552","Blueberries","2013","2013","ha","15","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","27","Bulgaria","5312","Area harvested","552","Blueberries","2014","2014","ha","14","F","FAO estimate"
"QCL","Crops and livestock products","27","Bulgaria","5312","Area harvested","552","Blueberries","2015","2015","ha","13","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","27","Bulgaria","5312","Area harvested","552","Blueberries","2016","2016","ha","13","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","27","Bulgaria","5312","Area harvested","552","Blueberries","2017","2017","ha","13","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","27","Bulgaria","5312","Area harvested","552","Blueberries","2018","2018","ha","30","","Official data"
"QCL","Crops and livestock products","27","Bulgaria","5312","Area harvested","552","Blueberries","2020","2020","ha","40","","Official data"
"QCL","Crops and livestock products","27","Bulgaria","5419","Yield","552","Blueberries","2006","2006","hg/ha","50000","Fc","Calculated data"
"QCL","Crops and livestock products","27","Bulgaria","5419","Yield","552","Blueberries","2007","2007","hg/ha","50000","Fc","Calculated data"
"QCL","Crops and livestock products","27","Bulgaria","5419","Yield","552","Blueberries","2008","2008","hg/ha","50000","Fc","Calculated data"
"QCL","Crops and livestock products","27","Bulgaria","5419","Yield","552","Blueberries","2009","2009","hg/ha","55556","Fc","Calculated data"
"QCL","Crops and livestock products","27","Bulgaria","5419","Yield","552","Blueberries","2010","2010","hg/ha","58824","Fc","Calculated data"
"QCL","Crops and livestock products","27","Bulgaria","5419","Yield","552","Blueberries","2011","2011","hg/ha","62500","Fc","Calculated data"
"QCL","Crops and livestock products","27","Bulgaria","5419","Yield","552","Blueberries","2012","2012","hg/ha","66667","Fc","Calculated data"
"QCL","Crops and livestock products","27","Bulgaria","5419","Yield","552","Blueberries","2013","2013","hg/ha","66667","Fc","Calculated data"
"QCL","Crops and livestock products","27","Bulgaria","5419","Yield","552","Blueberries","2014","2014","hg/ha","70000","Fc","Calculated data"
"QCL","Crops and livestock products","27","Bulgaria","5419","Yield","552","Blueberries","2015","2015","hg/ha","74615","Fc","Calculated data"
"QCL","Crops and livestock products","27","Bulgaria","5419","Yield","552","Blueberries","2016","2016","hg/ha","76154","Fc","Calculated data"
"QCL","Crops and livestock products","27","Bulgaria","5419","Yield","552","Blueberries","2017","2017","hg/ha","76154","Fc","Calculated data"
"QCL","Crops and livestock products","27","Bulgaria","5419","Yield","552","Blueberries","2018","2018","hg/ha","33333","Fc","Calculated data"
"QCL","Crops and livestock products","27","Bulgaria","5419","Yield","552","Blueberries","2020","2020","hg/ha","20000","Fc","Calculated data"
"QCL","Crops and livestock products","27","Bulgaria","5510","Production","552","Blueberries","1961","1961","tonnes","","M","Data not available"
"QCL","Crops and livestock products","27","Bulgaria","5510","Production","552","Blueberries","1962","1962","tonnes","","M","Data not available"
"QCL","Crops and livestock products","27","Bulgaria","5510","Production","552","Blueberries","1963","1963","tonnes","","M","Data not available"
"QCL","Crops and livestock products","27","Bulgaria","5510","Production","552","Blueberries","1964","1964","tonnes","","M","Data not available"
"QCL","Crops and livestock products","27","Bulgaria","5510","Production","552","Blueberries","1965","1965","tonnes","","M","Data not available"
"QCL","Crops and livestock products","27","Bulgaria","5510","Production","552","Blueberries","1966","1966","tonnes","","M","Data not available"
"QCL","Crops and livestock products","27","Bulgaria","5510","Production","552","Blueberries","1967","1967","tonnes","","M","Data not available"
"QCL","Crops and livestock products","27","Bulgaria","5510","Production","552","Blueberries","1968","1968","tonnes","","M","Data not available"
"QCL","Crops and livestock products","27","Bulgaria","5510","Production","552","Blueberries","1969","1969","tonnes","","M","Data not available"
"QCL","Crops and livestock products","27","Bulgaria","5510","Production","552","Blueberries","1970","1970","tonnes","","M","Data not available"
"QCL","Crops and livestock products","27","Bulgaria","5510","Production","552","Blueberries","1971","1971","tonnes","","M","Data not available"
"QCL","Crops and livestock products","27","Bulgaria","5510","Production","552","Blueberries","1972","1972","tonnes","","M","Data not available"
"QCL","Crops and livestock products","27","Bulgaria","5510","Production","552","Blueberries","1973","1973","tonnes","","M","Data not available"
"QCL","Crops and livestock products","27","Bulgaria","5510","Production","552","Blueberries","1974","1974","tonnes","","M","Data not available"
"QCL","Crops and livestock products","27","Bulgaria","5510","Production","552","Blueberries","1975","1975","tonnes","","M","Data not available"
"QCL","Crops and livestock products","27","Bulgaria","5510","Production","552","Blueberries","1976","1976","tonnes","","M","Data not available"
"QCL","Crops and livestock products","27","Bulgaria","5510","Production","552","Blueberries","1977","1977","tonnes","","M","Data not available"
"QCL","Crops and livestock products","27","Bulgaria","5510","Production","552","Blueberries","1978","1978","tonnes","","M","Data not available"
"QCL","Crops and livestock products","27","Bulgaria","5510","Production","552","Blueberries","1979","1979","tonnes","","M","Data not available"
"QCL","Crops and livestock products","27","Bulgaria","5510","Production","552","Blueberries","1980","1980","tonnes","","M","Data not available"
"QCL","Crops and livestock products","27","Bulgaria","5510","Production","552","Blueberries","1981","1981","tonnes","","M","Data not available"
"QCL","Crops and livestock products","27","Bulgaria","5510","Production","552","Blueberries","1982","1982","tonnes","","M","Data not available"
"QCL","Crops and livestock products","27","Bulgaria","5510","Production","552","Blueberries","1983","1983","tonnes","","M","Data not available"
"QCL","Crops and livestock products","27","Bulgaria","5510","Production","552","Blueberries","1984","1984","tonnes","","M","Data not available"
"QCL","Crops and livestock products","27","Bulgaria","5510","Production","552","Blueberries","1985","1985","tonnes","","M","Data not available"
"QCL","Crops and livestock products","27","Bulgaria","5510","Production","552","Blueberries","1986","1986","tonnes","","M","Data not available"
"QCL","Crops and livestock products","27","Bulgaria","5510","Production","552","Blueberries","1987","1987","tonnes","","M","Data not available"
"QCL","Crops and livestock products","27","Bulgaria","5510","Production","552","Blueberries","1988","1988","tonnes","","M","Data not available"
"QCL","Crops and livestock products","27","Bulgaria","5510","Production","552","Blueberries","1989","1989","tonnes","","M","Data not available"
"QCL","Crops and livestock products","27","Bulgaria","5510","Production","552","Blueberries","1990","1990","tonnes","","M","Data not available"
"QCL","Crops and livestock products","27","Bulgaria","5510","Production","552","Blueberries","1991","1991","tonnes","","M","Data not available"
"QCL","Crops and livestock products","27","Bulgaria","5510","Production","552","Blueberries","1992","1992","tonnes","","M","Data not available"
"QCL","Crops and livestock products","27","Bulgaria","5510","Production","552","Blueberries","1993","1993","tonnes","","M","Data not available"
"QCL","Crops and livestock products","27","Bulgaria","5510","Production","552","Blueberries","1994","1994","tonnes","","M","Data not available"
"QCL","Crops and livestock products","27","Bulgaria","5510","Production","552","Blueberries","1995","1995","tonnes","","M","Data not available"
"QCL","Crops and livestock products","27","Bulgaria","5510","Production","552","Blueberries","1996","1996","tonnes","","M","Data not available"
"QCL","Crops and livestock products","27","Bulgaria","5510","Production","552","Blueberries","1997","1997","tonnes","","M","Data not available"
"QCL","Crops and livestock products","27","Bulgaria","5510","Production","552","Blueberries","1998","1998","tonnes","","M","Data not available"
"QCL","Crops and livestock products","27","Bulgaria","5510","Production","552","Blueberries","1999","1999","tonnes","","M","Data not available"
"QCL","Crops and livestock products","27","Bulgaria","5510","Production","552","Blueberries","2000","2000","tonnes","","M","Data not available"
"QCL","Crops and livestock products","27","Bulgaria","5510","Production","552","Blueberries","2001","2001","tonnes","","M","Data not available"
"QCL","Crops and livestock products","27","Bulgaria","5510","Production","552","Blueberries","2002","2002","tonnes","","M","Data not available"
"QCL","Crops and livestock products","27","Bulgaria","5510","Production","552","Blueberries","2003","2003","tonnes","","M","Data not available"
"QCL","Crops and livestock products","27","Bulgaria","5510","Production","552","Blueberries","2004","2004","tonnes","","M","Data not available"
"QCL","Crops and livestock products","27","Bulgaria","5510","Production","552","Blueberries","2005","2005","tonnes","","M","Data not available"
"QCL","Crops and livestock products","27","Bulgaria","5510","Production","552","Blueberries","2006","2006","tonnes","100","F","FAO estimate"
"QCL","Crops and livestock products","27","Bulgaria","5510","Production","552","Blueberries","2007","2007","tonnes","100","F","FAO estimate"
"QCL","Crops and livestock products","27","Bulgaria","5510","Production","552","Blueberries","2008","2008","tonnes","100","F","FAO estimate"
"QCL","Crops and livestock products","27","Bulgaria","5510","Production","552","Blueberries","2009","2009","tonnes","100","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","27","Bulgaria","5510","Production","552","Blueberries","2010","2010","tonnes","100","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","27","Bulgaria","5510","Production","552","Blueberries","2011","2011","tonnes","100","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","27","Bulgaria","5510","Production","552","Blueberries","2012","2012","tonnes","100","F","FAO estimate"
"QCL","Crops and livestock products","27","Bulgaria","5510","Production","552","Blueberries","2013","2013","tonnes","100","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","27","Bulgaria","5510","Production","552","Blueberries","2014","2014","tonnes","98","F","FAO estimate"
"QCL","Crops and livestock products","27","Bulgaria","5510","Production","552","Blueberries","2015","2015","tonnes","97","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","27","Bulgaria","5510","Production","552","Blueberries","2016","2016","tonnes","99","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","27","Bulgaria","5510","Production","552","Blueberries","2017","2017","tonnes","99","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","27","Bulgaria","5510","Production","552","Blueberries","2018","2018","tonnes","100","","Official data"
"QCL","Crops and livestock products","27","Bulgaria","5510","Production","552","Blueberries","2020","2020","tonnes","80","","Official data"
"QCL","Crops and livestock products","33","Canada","5312","Area harvested","552","Blueberries","1961","1961","ha","2800","F","FAO estimate"
"QCL","Crops and livestock products","33","Canada","5312","Area harvested","552","Blueberries","1962","1962","ha","2750","F","FAO estimate"
